搜索关键词,商品名称,价格,评价人数,商家店名
血氧仪,"
								血氧仪303/301指夹式医用血氧饱和度检测家用手指脉搏检测仪 指夹式血氧仪301
								血氧仪303/301指夹式医用血氧饱和度检测家用手指脉搏检测仪 指夹式血氧仪301
							",528,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								医用指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 儿童血压血氧监护一体机(体重20KG-40KG)
								'店铺部分产品为定制产品，下单前请联系咚咚确认发货时效，定制产品周期预计30天时效，未联系咚咚私自下单默认同意，请知悉！
							",975,0,"
									妙福康医疗器械专营店
						"
血氧仪,"
								医用指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 LED屏幕血氧仪(两个参数，不能报警)(备
								'店铺部分产品为定制产品，下单前请联系咚咚确认发货时效，定制产品周期预计30天时效，未联系咚咚私自下单默认同意，请知悉！
							",175,0,"
									妙福康医疗器械专营店
						"
血氧仪,"
								康泰腕式血氧仪脉搏血氧仪腕式血氧饱和度仪心率血氧检测
								
							",699,36,"
									康泰官方旗舰店
						"
血氧仪,"
								适用于指夹式脉搏血氧仪家用高精准血氧饱和度检测仪心率计 黑色
								适用于指夹式脉搏血氧仪家用高精准血氧饱和度检测仪心率计 黑色
							",153.98,0,"
									罗脉启龙专卖店
						"
血氧仪,"
								血氧仪指夹式饱和度检测仪家用心率监测心跳脉搏血氧手指指脉氧仪 软头体温计+OLED屏幕三参数血氧仪(可声光报警)
								'店铺部分产品为定制产品，下单前请联系咚咚确认发货时效，定制产品周期预计30天时效，未联系咚咚私自下单默认同意，请知悉！
							",227,1,"
									妙福康医疗器械专营店
						"
血氧仪,"
								【JD健康】指夹式脉搏血氧仪 血氧饱和度YX301彩色液晶显示脉搏检测器
								本店由【仁和】【鱼跃】【爱护佳】【仙鹤】【百年扁氏】【罗脉】【迈德斯特】官方授权，保证，质量保证，赠送运费险，售后无忧！
							",354,0,"
									彤舒逸保健器械专营店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 白色
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 白色
							",158,0,"
									罗脉瑞腾专卖店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 黑色
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 黑色
							",158,0,"
									罗脉瑞腾专卖店
						"
血氧仪,"
								超思（Choicemmed）指尖血氧仪手指夹式血氧饱和度检测仪测脉搏心率检测仪指脉氧医用MD300C11
								
							",89,2万+,"
									超思ChoiceMMed京东自营旗舰店
						"
血氧仪,"
								脉搏指夹式/心率血氧饱和度/成人血氧仪/儿童婴幼儿血氧仪 血氧仪
								脉搏指夹式/心率血氧饱和度/成人血氧仪/儿童婴幼儿血氧仪 血氧仪
							",916,0,"
									锦昊医疗器械专营店
						"
血氧仪,"
								指甲式血氧仪款血氧仪家用血氧饱和度 单色数码管（送电池+吊绳）
								指甲式血氧仪款血氧仪家用血氧饱和度 单色数码管（送电池+吊绳）
							",39,0,"
									锦昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 白色
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 白色
							",176,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 黑色
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 黑色
							",176,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-01
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-01
							",46,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								乐普血氧仪腕式睡眠监测连续监测心率血氧震动提醒
								
							",1299,500+,"
									乐普智芯官方旗舰店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-02
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-02
							",76,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-03
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-03
							",50,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式家用血氧饱和度检测仪心率监测仪指脉手指 顺丰+赠电池1对+挂绳
								血氧仪指夹式家用血氧饱和度检测仪心率监测仪指脉手指 顺丰+赠电池1对+挂绳
							",352,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 黑色
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 黑色
							",176,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 白色
								血氧仪指夹式脉搏血氧饱和度检测仪家用指脉氧夹心率监测仪 白色
							",176,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								高精度健康智能运动手表环男女测血压心率心电图老年成人非级粉
								
							",524.4,0,"
									腾昌达医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-02
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-02
							",84,0,"
									锦昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-03
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-03
							",55,0,"
									锦昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-01
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-01
							",51,0,"
									锦昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-03
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-03
							",50,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-01
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 M-01
							",46,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								级高精度华为手机动态测血压心率智能手环24小时血氧心电图心
								
							",1715,0,"
									惠蔓医疗器械专营店
						"
血氧仪,"
								血压心率监测血氧仪指夹式心跳脉搏血氧饱和度检测家用检测仪 TFT四色
								血压心率监测血氧仪指夹式心跳脉搏血氧饱和度检测家用检测仪 TFT四色
							",53.06,0,"
									罗脉瑞腾专卖店
						"
血氧仪,"
								血氧仪指夹式医用儿童血氧饱和度检测家用手指脉搏监测心率仪 血氧仪(+吊绳+电池)
								血氧仪指夹式医用儿童血氧饱和度检测家用手指脉搏监测心率仪 血氧仪(+吊绳+电池)
							",273,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								腕式血氧仪血氧饱和度监测 心率脉搏睡眠监测 蓝牙可充电 蓝牙版指夹血氧仪-F01LT
								腕式血氧仪血氧饱和度监测 心率脉搏睡眠监测 蓝牙可充电 蓝牙版指夹血氧仪-F01LT
							",571,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								指脉血氧仪指夹式心率监测心跳脉搏血氧饱和度家用检测血氧机 LED单色
								指脉血氧仪指夹式心率监测心跳脉搏血氧饱和度家用检测血氧机 LED单色
							",38,0,"
									罗脉瑞腾专卖店
						"
血氧仪,"
								【JD健康】血氧仪血氧饱和度检测仪手指夹式脉搏指脉氧监测仪医用家用 303款网络款+挂绳+电池
								商品标语：限量优惠，活动多多，保障，开票，现货速发哦
							",342,0,"
									似水流年保健器械专营店
						"
血氧仪,"
								级华为手机通用高精度血压血氧智能手环运动心脏跳监测仪心率男
								
							",1754,0,"
									惠蔓医疗器械专营店
						"
血氧仪,"
								血氧夹指夹式语音播报指夹式家用脉率监测仪脉搏检测仪PC-60F BMC血氧仪
								血氧夹指夹式语音播报指夹式家用脉率监测仪脉搏检测仪PC-60F BMC血氧仪
							",98,0,"
									格曼医疗器械专营店
						"
血氧仪,"
								手指甲脉搏血氧仪指夹式指尖儿童家用娇之乐 黑色 包装新款(.)
								手指甲脉搏血氧仪指夹式指尖儿童家用娇之乐 黑色 包装新款(.)
							",98,0,"
									赣创保健器械专营店
						"
血氧仪,"
								手指甲脉搏血氧仪指夹式指尖儿童家用娇之乐 黑色 包装新款(,)
								手指甲脉搏血氧仪指夹式指尖儿童家用娇之乐 黑色 包装新款(,)
							",98,0,"
									赣创保健器械专营店
						"
血氧仪,"
								脉搏血氧仪指夹式医用血氧饱和度手指式心率检测仪DB12 TFT四色+挂绳-D84
								脉搏血氧仪指夹式医用血氧饱和度手指式心率检测仪DB12 TFT四色+挂绳-D84
							",51.14,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								脉搏血氧仪指夹式医用血氧饱和度手指式心率检测仪DB12 LED四色+挂绳-K81
								脉搏血氧仪指夹式医用血氧饱和度手指式心率检测仪DB12 LED四色+挂绳-K81
							",41.14,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								康泰外接式探头血氧仪便携血氧仪测血氧成人脉搏血氧仪
								
							",699,11,"
									康泰官方旗舰店
						"
血氧仪,"
								脉搏血氧仪指夹式医用血氧饱和度手指式心率检测仪DB12 LED单色+挂绳-O49
								脉搏血氧仪指夹式医用血氧饱和度手指式心率检测仪DB12 LED单色+挂绳-O49
							",33.34,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧仪血氧饱和度检测仪脉氧手指夹式脉搏心率监测仪医用家用 医用血氧仪-浅绿色
								血氧仪血氧饱和度检测仪脉氧手指夹式脉搏心率监测仪医用家用 医用血氧仪-浅绿色
							",233,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								【JD健康】血氧仪指夹式现货TFT屏脉搏PI心率血氧饱和度监测仪 蓝白款 TFT屏
								本店部分商品为定制商品，部分商品价格是定金，部分商品自提，超重及偏远地区需补运费，需联系咚咚,私自下单表示认同,不接受反驳不作为赔偿依据
							",59,0,"
									彤舒逸保健器械专营店
						"
血氧仪,"
								指脉血氧仪指夹式心率监测心跳脉搏血氧饱和度家用检测血氧机 LED单色
								指脉血氧仪指夹式心率监测心跳脉搏血氧饱和度家用检测血氧机 LED单色
							",42,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式指脉氧血氧饱和度心率检测仪蓝牙带 .脉搏检测指尖手指脉搏仪,齐全
								血氧仪指夹式指脉氧血氧饱和度心率检测仪蓝牙带 .脉搏检测指尖手指脉搏仪,齐全
							",166,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								腕式血氧仪血氧饱和度监测心率脉搏睡眠监测蓝牙可充电指
								
							",322.91,0,"
									隆千祥医疗器械专营店
						"
血氧仪,"
								适用于指夹式血氧仪 专为孩子设计 内置锂电池 测量血氧 脉搏频率 蓝色
								适用于指夹式血氧仪 专为孩子设计 内置锂电池 测量血氧 脉搏频率 蓝色
							",217.36,0,"
									罗脉启龙专卖店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测家用便携式脉氧仪心率监测仪 暗夜黑
								血氧仪指夹式脉搏血氧饱和度检测家用便携式脉氧仪心率监测仪 暗夜黑
							",173.8,0,"
									维乐高日昊专卖店
						"
血氧仪,"
								血氧仪指夹式脉搏血氧饱和度检测家用便携式脉氧仪心率监测仪 浅金色
								血氧仪指夹式脉搏血氧饱和度检测家用便携式脉氧仪心率监测仪 浅金色
							",187,0,"
									维乐高日昊专卖店
						"
血氧仪,"
								儿童指夹血氧仪C53婴儿指夹式心率仪 脉搏血氧饱和度检测仪 超思C52(小熊款)
								百家医疗品牌授权，工厂直供，品质保证，三证齐全，免费开票，支持定制！部分定制医疗器械产品购买前需要提供诊断报告，请悉知
							",376,0,"
									夏兰莱医疗器械专营店
						"
血氧仪,"
								儿童指夹血氧仪C53婴儿指夹式心率仪 脉搏血氧饱和度检测仪 超思C54(熊猫款)
								百家医疗品牌授权，工厂直供，品质保证，三证齐全，免费开票，支持定制！部分定制医疗器械产品购买前需要提供诊断报告，请悉知
							",376,0,"
									夏兰莱医疗器械专营店
						"
血氧仪,"
								SZOSEN奥生8000B多参数监护仪重症监护仪ICU
								
							",11520,0,"
									腾海保健器械专营店
						"
血氧仪,"
								医用指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 软头体温计+OLED屏幕三参数血氧仪(可声光报警)
								'店铺部分产品为定制产品，下单前请联系咚咚确认发货时效，定制产品周期预计30天时效，未联系咚咚私自下单默认同意，请知悉！
							",231,0,"
									妙福康医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测仪心跳脉搏脉率检测家用饱和度测量 浅蓝色血氧仪(超标警报功能) 【电池和挂绳】
								'店铺部分产品为定制产品，下单前请联系咚咚确认发货时效，定制产品周期预计30天时效，未联系咚咚私自下单默认同意，请知悉！
							",175,0,"
									妙福康医疗器械专营店
						"
血氧仪,"
								腕式血氧仪血氧饱和度监测 心率脉搏睡眠监测 蓝牙可充电 腕式睡眠检测血氧仪-W01LT
								腕式血氧仪血氧饱和度监测 心率脉搏睡眠监测 蓝牙可充电 腕式睡眠检测血氧仪-W01LT
							",1198,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								【JD健康】儿童婴儿血氧监测仪锂电池充电指夹血氧仪饱和度手指脉搏检测仪
								本店部分商品为定制商品，部分商品价格是定金，部分商品自提，超重及偏远地区需补运费，需联系咚咚,私自下单表示认同,不接受反驳不作为赔偿依据
							",349,0,"
									彤舒逸保健器械专营店
						"
血氧仪,"
								【JD健康】血氧仪血氧饱和度检测仪手指夹式脉搏指脉氧监测仪医用家用 301款实体店款+挂绳+电池
								商品标语：限量优惠，活动多多，保障，开票，现货速发哦
							",362,0,"
									似水流年保健器械专营店
						"
血氧仪,"
								西恩（scian）血氧仪 指夹式成人血氧饱和度脉搏检测器 家用便携式心率心跳监测仪
								
							",189,26,"
									西恩京东自营旗舰店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C 黑色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C 黑色
							",158,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C白色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C白色
							",158,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C金色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C金色
							",170,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81D 白色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81D 白色
							",138,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测仪心跳脉搏脉率检测家用饱和度测量 黑色
								指脉氧血氧仪手指夹式心率监测仪心跳脉搏脉率检测家用饱和度测量 黑色
							",88,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								超思华大夫新生儿/婴儿血氧仪早产儿/脉氧仪成人脉搏血氧饱和
								
							",2005,0,"
									惠蔓医疗器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测仪心跳脉搏脉率检测家用饱和度测量 白色
								指脉氧血氧仪手指夹式心率监测仪心跳脉搏脉率检测家用饱和度测量 白色
							",88,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								【JD健康】血氧仪指夹式现货TFT屏脉搏PI心率血氧饱和度监测仪 白A2款带蜂鸣器
								本店部分商品为定制商品，部分商品价格是定金，部分商品自提，超重及偏远地区需补运费，需联系咚咚,私自下单表示认同,不接受反驳不作为赔偿依据
							",69,0,"
									彤舒逸保健器械专营店
						"
血氧仪,"
								指夹式TFTLCDOLED血氧饱和度lk88 89血氧仪娇之乐 OLED 市场规格新款(,)
								指夹式TFTLCDOLED血氧饱和度lk88 89血氧仪娇之乐 OLED 市场规格新款(,)
							",78,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式TFTLCDOLED血氧饱和度lk88 89血氧仪娇之乐 OLED 市场规格新款(.)
								指夹式TFTLCDOLED血氧饱和度lk88 89血氧仪娇之乐 OLED 市场规格新款(.)
							",48,0,"
									赣创保健器械专营店
						"
血氧仪,"
								血氧仪指夹式家用心跳脉搏心率手指血氧饱和度监测检仪器医用 LED四色+挂绳-L58
								血氧仪指夹式家用心跳脉搏心率手指血氧饱和度监测检仪器医用 LED四色+挂绳-L58
							",38.26,1,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧仪手腕式脉搏血氧饱和度检测仪心率呼吸睡眠监测仪指脉氧
								
							",1756,0,"
									惠蔓医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式家用心跳脉搏心率手指血氧饱和度监测检仪器医用 TFT四色+挂绳-J79
								血氧仪指夹式家用心跳脉搏心率手指血氧饱和度监测检仪器医用 TFT四色+挂绳-J79
							",48.26,1,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式家用心跳脉搏心率手指血氧饱和度监测检仪器医用 LED单色+挂绳-R60
								血氧仪指夹式家用心跳脉搏心率手指血氧饱和度监测检仪器医用 LED单色+挂绳-R60
							",30.46,1,"
									日昊医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C金色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C金色
							",170,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C 黑色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81C 黑色
							",158,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81D 白色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81D 白色
							",138,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								SZOSEN奥生数字式心电图机E12便携式十二道心电图
								
							",14400,0,"
									爱尔乐医疗器械专营店
						"
血氧仪,"
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81D 黑色
								指夹式脉搏血氧仪指脉氧夹家用血氧饱和度检测心率监护监测仪 YK-81D 黑色
							",138,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED单色+挂绳
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED单色+挂绳
							",32,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED四色+挂绳
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED四色+挂绳
							",40,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 TFT四色+挂绳
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 TFT四色+挂绳
							",50,0,"
									东昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式F01T 可充电测心率血氧饱和度脉搏检测 【P-05 LCD】送电池挂绳
								血氧仪指夹式F01T 可充电测心率血氧饱和度脉搏检测 【P-05 LCD】送电池挂绳
							",57.6,0,"
									格曼医疗器械专营店
						"
血氧仪,"
								佳光血氧仪指夹式YX-306血氧饱和浓度手指脉搏脉率家用检
								
							",359,0,"
									倚鑫成医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式F01T 可充电测心率血氧饱和度脉搏检测 【P-05 LED】送电池挂绳
								血氧仪指夹式F01T 可充电测心率血氧饱和度脉搏检测 【P-05 LED】送电池挂绳
							",52.8,0,"
									格曼医疗器械专营店
						"
血氧仪,"
								适用于血氧仪指夹式血氧仪脉搏血氧仪医用夹指血氧仪血氧饱和仪 A310血氧仪
								适用于血氧仪指夹式血氧仪脉搏血氧仪医用夹指血氧仪血氧饱和仪 A310血氧仪
							",369.6,0,"
									罗脉启龙专卖店
						"
血氧仪,"
								适用于血氧仪指夹式血氧仪脉搏血氧仪医用夹指血氧仪血氧饱和仪 A320血氧仪
								适用于血氧仪指夹式血氧仪脉搏血氧仪医用夹指血氧仪血氧饱和仪 A320血氧仪
							",501.6,0,"
									罗脉启龙专卖店
						"
血氧仪,"
								医用指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 成人监护血压血氧监测一体机(适合危重病人24小时监
								'店铺部分产品为定制产品，下单前请联系咚咚确认发货时效，定制产品周期预计30天时效，未联系咚咚私自下单默认同意，请知悉！
							",975,0,"
									妙福康医疗器械专营店
						"
血氧仪,"
								适用于血氧仪指夹式医用血压心率监测心跳脉搏血氧饱和度检测家用检测仪
								适用于血氧仪指夹式医用血压心率监测心跳脉搏血氧饱和度检测家用检测仪
							",87.56,0,"
									罗脉启龙专卖店
						"
血氧仪,"
								超思（Choicemmed）指尖血氧仪手指夹式血氧饱和度检测仪测脉搏心率检测仪指脉氧医用MD300C22
								
							",129,2万+,"
									超思ChoiceMMed京东自营旗舰店
						"
血氧仪,"
								【JD健康】血氧仪指夹式现货TFT屏脉搏PI心率血氧饱和度监测仪 805蓝色款TFT屏蓝色
								本店部分商品为定制商品，部分商品价格是定金，部分商品自提，超重及偏远地区需补运费，需联系咚咚,私自下单表示认同,不接受反驳不作为赔偿依据
							",69,0,"
									彤舒逸保健器械专营店
						"
血氧仪,"
								【JD健康】指夹式血氧仪 测心率心跳血氧饱和度检测仪器 脉氧仪 蓝牙版 安卓使用
								本店产品大多数都要定做，下单前麻烦联系，私下直接下单本店不受平台规则处罚！！！
							",409,0,"
									彤舒逸保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 蓝色 新款(.)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 蓝色 新款(.)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 绿色 新款(,)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 绿色 新款(,)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 灰色 新款(.)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 灰色 新款(.)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								佳光心率监测仪血氧仪指夹式脉搏指脉氧血氧饱和度检测仪Yx
								
							",435,0,"
									倚鑫成医疗器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 紫色 新款(.)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 紫色 新款(.)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 粉色 新款(.)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 粉色 新款(.)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 灰色 新款(,)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 灰色 新款(,)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 紫色 新款(,)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 紫色 新款(,)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 蓝色 新款(,)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 蓝色 新款(,)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								超思（Choicemmed）血氧仪小儿童手指夹式血氧饱和度脉搏心率检测仪指脉氧医用MD300C53
								
							",148,2万+,"
									超思ChoiceMMed京东自营旗舰店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 粉色 新款(,)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 粉色 新款(,)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 绿色 新款(.)
								指夹式OLED屏血氧饱和度监测仪指尖脉搏心率血氧仪娇之乐 绿色 新款(.)
							",128,0,"
									赣创保健器械专营店
						"
血氧仪,"
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 带两节7号电池
								指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检测仪家用 带两节7号电池
							",79,0,"
									锦昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED四色+电池+挂绳
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED四色+电池+挂绳
							",42,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED单色+电池+挂绳
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 LED单色+电池+挂绳
							",38,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式心电监护仪心率器指脉氧乐普科瑞康儿童家用血氧饱
								
							",372,0,"
									惠蔓医疗器械专营店
						"
血氧仪,"
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 TFT四色+电池+挂绳
								血氧仪指夹式血氧饱和度检测家用手指脉搏检测仪心率监测仪 TFT四色+电池+挂绳
							",52,0,"
									日昊医疗器械专营店
						"
血氧仪,"
								血氧饱和度夹检测仪手指测心率器心跳指脉氧监测脉搏血养仪指夹式 夹指式血氧仪+配送电池
								血氧饱和度夹检测仪手指测心率器心跳指脉氧监测脉搏血养仪指夹式 夹指式血氧仪+配送电池
							",150,0,"
									舒诺达利保健器械专营店
						"
血氧仪,"
								儿童款心率血氧检测仪婴儿家用手指夹式血氧仪小孩专用脉搏监测仪 百搭红【赠充电线+超萌挂绳】
								儿童款心率血氧检测仪婴儿家用手指夹式血氧仪小孩专用脉搏监测仪 百搭红【赠充电线+超萌挂绳】
							",81,3,"
									瑞腾医疗器械专营店
						"
血氧仪,"
								医用指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检家用 LED单色+挂绳-B11
								医用指脉氧血氧仪手指夹式心率监测心跳脉搏血氧饱和度检家用 LED单色+挂绳-B11
							",32.84,0,"
									日昊医疗器械专营店
						"
